match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,CourtSide,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stNoLet,2ndNoLet,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1,Gm2,SetW,Set1,Set2,RevTB,TBrev,rallyCount,T1st,T2nd,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,1,0,0,0,0,0-0,Due,1,1,0,,1,2,RF,4f18f2b2f1f1d@,,,4f18f2b2f1f1d@,,0,,4f18f2b2f1f1d@,,1,,1,0,4,,f18f2b2f1f1d@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,f18f2b2f1f1d,f18f2b2f1f1,ffbff,5,1,1,15-0,0,0,0,0,0,0,,,5,4 f18 f2 b2 f1 f1d@,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,2,0,0,0,0,15-0,Adv,1,1,0,,1,2,RF,6*,,,6*,,0,,6*,,1,,0,0,6*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,1,1,30-0,0,0,0,0,0,0,,,1,6*,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,3,0,0,0,0,30-0,Due,1,1,0,,1,2,RF,4w,5f29f2n#,,4w,5f29f2n#,0,0,4w,5f29f2n#,0,1,0,1,4w,5,f29f2n#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f29f2n,f29f2,ff,2,2,0,30-15,0,0,0,0,0,0,,,2,4w,5 f29 f2n#,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,4,0,0,0,0,30-15,Adv,1,1,0,,1,2,RF,4b2d#,,,4b2d#,,0,,4b2d#,,1,,1,0,4,,b2d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,b2d,b2,b,1,1,1,40-15,0,0,0,0,0,0,,,1,4 b2d#,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,5,0,0,0,0,40-15,Due,1,1,0,,1,2,RF,4w,6n,,4w,6n,0,0,4w,6n,0,0,0,0,4w,6n,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,0,2,0,40-30,0,0,0,0,0,0,,,0,4w,6n,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,6,0,0,0,0,40-30,Adv,1,1,0,,1,2,RF,6n,6f1n@,,6n,6f1n@,0,0,6n,6f1n@,0,1,0,1,6n,6,f1n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,f1n,f1,f,1,1,1,GM,1,1,0,0,0,0,,,1,6n,6 f1n@,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,7,0,0,1,0,0-0,Due,2,1,0,,2,1,MR,6n,5s39f3w@,,6n,5s39f3w@,0,0,6n,5s39f3w@,0,1,0,1,6n,5,s39f3w@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,s39f3w,s39f3,sf,2,1,0,0-15,0,1,0,0,0,0,,,2,6n,5 s39 f3w@,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,8,0,0,1,0,0-15,Adv,2,1,0,,2,1,MR,4*,,,4*,,0,,4*,,1,,0,0,4*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,15-15,0,1,0,0,0,0,,,1,4*,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,9,0,0,1,0,15-15,Due,2,1,0,,2,1,MR,4f38f3s;2f-3b3w@,,,4f38f3s;2f-3b3w@,,0,,4f38f3s;2f-3b3w@,,1,,1,0,4,,f38f3s;2f-3b3w@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,f38f3s2f3b3w,f38f3s2f3b3,ffsfb,5,2,1,30-15,0,1,0,0,0,0,,,5,4 f38 f3 s;2 f-3 b3w@,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,10,0,0,1,0,30-15,Adv,2,1,0,,2,1,MR,5b2d#,,,5b2d#,,0,,5b2d#,,1,,1,0,5,,b2d#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,b2d,b2,b,1,2,1,40-15,0,1,0,0,0,0,,,1,5 b2d#,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,11,0,0,1,0,40-15,Due,2,1,0,,2,1,MR,4w,5f29f3b2f3s3f1*,,4w,5f29f3b2f3s3f1*,0,0,4w,5f29f3b2f3s3f1*,0,1,0,1,4w,5,f29f3b2f3s3f1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f29f3b2f3s3f1,f29f3b2f3s3f1,ffbfsf,6,2,1,GM,2,1,1,0,0,0,,,7,4w,5 f29 f3 b2 f3 s3 f1*,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,12,0,0,1,1,0-0,Due,3,1,0,,1,2,RF,4*,,,4*,,0,,4*,,1,,0,0,4*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,1,1,15-0,0,1,1,0,0,0,,,1,4*,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,13,0,0,1,1,15-0,Adv,3,1,0,,1,2,RF,4b38b1w@,,,4b38b1w@,,0,,4b38b1w@,,1,,1,0,4,,b38b1w@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b38b1w,b38b1,bb,2,2,0,15-15,0,1,1,0,0,0,,,2,4 b38 b1w@,,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,14,0,0,1,1,15-15,Due,3,1,0,,1,2,RF,4w,4f19f3s2f1f2i3*,,4w,4f19f3s2f1f2i3*,0,0,4w,4f19f3s2f1f2i3*,0,1,0,1,4w,4,f19f3s2f1f2i3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f19f3s2f1f2i3,f19f3s2f1f2i3,ffsffi,6,1,1,30-15,0,1,1,0,0,0,,,7,4w,4 f19 f3 s2 f1 f2 i3*,
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,15,0,0,1,1,30-15,Adv,3,1,0,,1,2,RF,6w,6*,,6w,6*,0,0,6w,6*,0,1,0,0,6w,6*,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,1,1,40-15,0,1,1,0,0,0,,,1,6w,6*,
